[contents]
count=2
Name=,C:\MassHunter\GCMS\1\data\JTB-E02\BACandSTRAW\JTB-E02-208-22.D
1=,INT TIC: JTB-E02-208-22.D\data.ms
2=,PBM Apex
[INT TIC: JTB-E02-208-22.D\data.ms]
Time=,Thu May 09 15:57:11 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.392,   31,  38,  71,"PV  ",6037787,137493861, 19.13,  2.637
2=,  2,  2.688,   71,  74,  78,"VV  ", 195029,  6596215,  0.92,  0.127
3=,  3,  2.753,   78,  82, 100,"VV 2", 271933, 17720630,  2.47,  0.340
4=,  4,  2.932,  100, 104, 106,"VV  ", 132410,  3693521,  0.51,  0.071
5=,  5,  2.977,  106, 109, 128,"VV 2", 326719, 13553012,  1.89,  0.260
6=,  6,  3.160,  128, 132, 136,"VV 2", 106883,  3577658,  0.50,  0.069
7=,  7,  3.218,  136, 139, 142,"VV 2", 141062,  2683446,  0.37,  0.051
8=,  8,  3.276,  142, 146, 153,"VV  ",6592586,140908735, 19.61,  2.702
9=,  9,  3.362,  153, 157, 167,"VV  ",17263010,469706536, 65.36,  9.008
10=, 10,  3.470,  167, 170, 209,"VV  ",5376608,327281543, 45.54,  6.277
11=, 11,  3.817,  209, 213, 215,"VV  ", 678552, 14578535,  2.03,  0.280
12=, 12,  3.869,  215, 219, 229,"VV  ",14206674,328201557, 45.67,  6.294
13=, 13,  3.988,  229, 234, 276,"VV  ",26283336,718615677,100.00, 13.782
14=, 14,  4.381,  276, 282, 290,"VV  ",5680400,128587610, 17.89,  2.466
15=, 15,  4.468,  290, 293, 319,"VV  ",1015758, 52908061,  7.36,  1.015
16=, 16,  4.715,  319, 324, 327,"VV 3", 186573,  6419908,  0.89,  0.123
17=, 17,  4.774,  327, 331, 335,"VV 2", 298466,  7620184,  1.06,  0.146
18=, 18,  4.839,  335, 339, 344,"VV  ", 424940, 10631618,  1.48,  0.204
19=, 19,  5.038,  359, 363, 367,"VV  ", 210181,  4693899,  0.65,  0.090
20=, 20,  5.084,  367, 369, 373,"VV 4",  78244,  1491226,  0.21,  0.029
21=, 21,  5.167,  373, 379, 381,"VV  ",1316053, 25099067,  3.49,  0.481
22=, 22,  5.222,  381, 386, 409,"VV  ",25550179,655684661, 91.24, 12.575
23=, 23,  5.424,  409, 411, 429,"VV 2", 912222, 57114798,  7.95,  1.095
24=, 24,  5.600,  429, 432, 435,"VV 2", 477228, 12770658,  1.78,  0.245
25=, 25,  5.657,  435, 439, 444,"VV  ",2362276, 55927555,  7.78,  1.073
26=, 26,  5.715,  444, 447, 456,"VV 2", 726546, 25382192,  3.53,  0.487
27=, 27,  5.834,  456, 461, 475,"VV  ",2341855, 65488548,  9.11,  1.256
28=, 28,  5.980,  475, 479, 499,"VV 7", 224561, 11656659,  1.62,  0.224
29=, 29,  6.192,  499, 505, 511,"PV  ",9601665,196567018, 27.35,  3.770
30=, 30,  6.282,  511, 516, 544,"VV  ",14421557,355940795, 49.53,  6.826
31=, 31,  6.545,  544, 549, 566,"VV 2",1667578, 39769329,  5.53,  0.763
32=, 32,  6.877,  583, 590, 596,"BV 2", 990652, 23201993,  3.23,  0.445
33=, 33,  6.985,  596, 603, 634,"VV 3",1378807, 48923877,  6.81,  0.938
34=, 34,  7.278,  634, 639, 654,"VV  ", 169769,  4021352,  0.56,  0.077
35=, 35,  7.570,  670, 675, 679,"PV 3",  74540,  1533391,  0.21,  0.029
36=, 36,  7.618,  679, 681, 689,"VV 8",  45286,  1117377,  0.16,  0.021
37=, 37,  7.731,  689, 695, 697,"VV 5",  49847,  1196692,  0.17,  0.023
38=, 38,  7.788,  697, 702, 713,"VV 2", 151847,  4432808,  0.62,  0.085
39=, 39,  7.940,  713, 721, 729,"VV 7",  69262,  2732116,  0.38,  0.052
40=, 40,  8.199,  743, 752, 767,"PV 2",1167005, 42106057,  5.86,  0.808
41=, 41,  8.423,  776, 780, 789,"VV 4",  57315,  2205461,  0.31,  0.042
42=, 42,  8.542,  789, 795, 805,"VV 7",  47145,  2205092,  0.31,  0.042
43=, 43,  8.782,  819, 824, 834,"VV 2", 156276,  3952639,  0.55,  0.076
44=, 44,  8.925,  834, 842, 850,"VV 3",  60917,  1661094,  0.23,  0.032
45=, 45,  9.041,  850, 856, 863,"VV  ", 733038, 20422104,  2.84,  0.392
46=, 46,  9.112,  863, 865, 873,"VV 2", 144917,  5590511,  0.78,  0.107
47=, 47,  9.221,  873, 878, 887,"VV  ", 179917,  7340007,  1.02,  0.141
48=, 48,  9.335,  887, 892, 901,"VV  ", 180345,  6677093,  0.93,  0.128
49=, 49,  9.545,  910, 918, 924,"VV  ", 179913,  5965675,  0.83,  0.114
50=, 50,  9.707,  933, 938, 952,"VV  ",  62148,  3098810,  0.43,  0.059
51=, 51, 10.021,  964, 977, 984,"VV  ",9584575,227335742, 31.64,  4.360
52=, 52, 10.122,  984, 989,1003,"VV 2", 610222, 33265779,  4.63,  0.638
53=, 53, 10.249, 1003,1005,1041,"VV 8", 251617, 29211232,  4.06,  0.560
54=, 54, 10.696, 1054,1060,1062,"VV  ", 227770,  5953556,  0.83,  0.114
55=, 55, 10.729, 1062,1064,1073,"VV 2", 233815,  7692025,  1.07,  0.148
56=, 56, 10.967, 1087,1093,1100,"VV 5", 117236,  3988770,  0.56,  0.076
57=, 57, 11.313, 1129,1136,1140,"VV 4",  40404,  1056147,  0.15,  0.020
58=, 58, 11.430, 1140,1150,1158,"VV 3",3858325,123334701, 17.16,  2.365
59=, 59, 11.521, 1158,1161,1174,"VV 6", 305072, 14879202,  2.07,  0.285
60=, 60, 11.840, 1195,1201,1206,"VV 6", 116813,  4285667,  0.60,  0.082
61=, 61, 12.434, 1268,1274,1291,"VV 2", 115575,  4060435,  0.57,  0.078
62=, 62, 12.642, 1291,1299,1314,"VV  ", 343400,  9990842,  1.39,  0.192
63=, 63, 12.842, 1314,1324,1332,"VV  ",  42881,  2204097,  0.31,  0.042
64=, 64, 13.186, 1360,1366,1378,"VV 7",  67036,  2277206,  0.32,  0.044
65=, 65, 14.034, 1464,1471,1476,"PV 3",  60192,  1681408,  0.23,  0.032
66=, 66, 14.225, 1486,1494,1504,"VV 10",  37662,  1690195,  0.24,  0.032
67=, 67, 14.500, 1517,1528,1534,"PV 2", 131542,  5018344,  0.70,  0.096
68=, 68, 14.572, 1534,1537,1556,"VV 8",  84958,  3660540,  0.51,  0.070
69=, 69, 16.446, 1762,1768,1774,"VV 4",  31976,  1029757,  0.14,  0.020
70=, 70, 17.517, 1889,1899,1917,"PV  ",  83475,  3344923,  0.47,  0.064
71=, 71, 19.574, 2141,2153,2157,"PV 10",  28938,  1117456,  0.16,  0.021
72=, 72, 19.821, 2177,2183,2191,"VV 4",  86827,  2681186,  0.37,  0.051
73=, 73, 20.068, 2206,2214,2237,"PV 2", 434899, 15926546,  2.22,  0.305
74=, 74, 20.396, 2246,2254,2276,"PV 4",  38675,  2533317,  0.35,  0.049
75=, 75, 20.632, 2276,2283,2295,"VV 2", 243983,  8555345,  1.19,  0.164
76=, 76, 20.800, 2295,2304,2314,"VV 3",  75001,  2727322,  0.38,  0.052
77=, 77, 21.274, 2355,2362,2378,"PV 5",  75466,  2449339,  0.34,  0.047
78=, 78, 21.970, 2441,2448,2457,"VV 3",  75628,  2386258,  0.33,  0.046
79=, 79, 22.171, 2465,2472,2490,"VV 5",  67479,  2540843,  0.35,  0.049
80=, 80, 22.592, 2513,2524,2534,"VV 3", 120331,  3921082,  0.55,  0.075
81=, 81, 23.381, 2612,2621,2627,"PV 6",  31709,   951660,  0.13,  0.018
82=, 82, 23.485, 2627,2634,2650,"VV 7",  60524,  3054749,  0.43,  0.059
83=, 83, 24.284, 2722,2733,2760,"VV  ",10354185,379226046, 52.77,  7.273
84=, 84, 24.536, 2760,2764,2773,"VV 8",  88743,  3794224,  0.53,  0.073
85=, 85, 24.716, 2777,2786,2793,"VV 6",  74867,  3149690,  0.44,  0.060
86=, 86, 24.830, 2793,2800,2806,"VV 7",  33559,  1116855,  0.16,  0.021
87=, 87, 26.372, 2975,2990,2994,"PV 8",  55935,  2069716,  0.29,  0.040
88=, 88, 26.436, 2994,2998,3006,"VV 7",  35035,  1196769,  0.17,  0.023
89=, 89, 26.682, 3018,3028,3042,"VV 4",  34302,  1579594,  0.22,  0.030
90=, 90, 27.474, 3113,3125,3162,"PV  ",2791593,124613364, 17.34,  2.390
91=, 91, 28.779, 3274,3286,3321,"PV 2", 427455, 38690705,  5.38,  0.742
92=, 92, 29.103, 3321,3326,3333,"VV 6",  33424,  1001048,  0.14,  0.019
93=, 93, 30.386, 3469,3484,3508,"PV 5", 161212, 16100343,  2.24,  0.309
94=, 94, 30.601, 3508,3510,3521,"VV 7",  26109,   766411,  0.11,  0.015
95=, 95, 31.668, 3633,3642,3648,"PV 4",  78301,  2614702,  0.36,  0.050
96=, 96, 32.305, 3710,3720,3734,"PV 4", 122238,  8610476,  1.20,  0.165
97=, 97, 32.429, 3734,3735,3740,"VV 4",  56202,  1420968,  0.20,  0.027
98=, 98, 33.000, 3801,3805,3814,"VV 6",  26666,   812174,  0.11,  0.016
99=, 99, 33.667, 3877,3888,3894,"PV 5",  31133,   815149,  0.11,  0.016
100=,100, 34.903, 4029,4040,4055,"PV 5", 102712,  4843570,  0.67,  0.093
101=,101, 35.504, 4104,4114,4116,"PV 5",   7079,   228440,  0.03,  0.004
[PBM Apex]
Time=,Thu May 09 15:57:25 2019
Header=,"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
1=,  1,  2.3920, 2.6369,"Carbon dioxide",    81,"000124-38-9", 4
2=,  2,  2.6884, 0.1265,"2-Pentanamine",  1930,"063493-28-7",50
3=,  3,  2.7527, 0.3399,"1-Butanamine, N-methyl-",  1937,"000110-68-9",72
4=,  4,  2.9315, 0.0708,"sec-Butylamine",   763,"013952-84-6", 7
5=,  5,  2.9766, 0.2599,"sec-Butylamine",   763,"013952-84-6",47
6=,  6,  3.1600, 0.0686,"dl-3-Aminoisobutyric acid, N-methyl-, methyl ester", 14233,"1000332-87-9",50
7=,  7,  3.2180, 0.0515,"2-Hexanamine, 4-methyl-",  8032,"000105-41-9",40
8=,  8,  3.2763, 2.7024,"Acetone",   216,"000067-64-1",80
9=,  9,  3.3621, 9.0082,"Acetic acid, methyl ester",   828,"000079-20-9",78
10=, 10,  3.4701, 6.2767,"Arsenous acid, tris(trimethylsilyl) ester",199618,"055429-29-3",72
11=, 11,  3.8168, 0.2796,"O-Methylisourea",   782,"002440-60-0",22
12=, 12,  3.8692, 6.2944,"Ethyl Acetate",  2041,"000141-78-6",83
13=, 13,  3.9877,13.7819,"Isopropyl acetate",  4325,"000108-21-4",83
14=, 14,  4.3814, 2.4661,"Isopropyl Alcohol",   295,"000067-63-0",78
15=, 15,  4.4681, 1.0147,"Propanamide, 2-hydroxy-",  2200,"002043-43-8",39
16=, 16,  4.7153, 0.1231,"1-Propanamine, N,2-dimethyl-",  1956,"000625-43-4",38
17=, 17,  4.7742, 0.1461,"Propanoic acid, ethyl ester",  4378,"000105-37-3",38
18=, 18,  4.8388, 0.2039,"Propanoic acid, 1-methylethyl ester",  8352,"000637-78-5",47
19=, 19,  5.0384, 0.0900,"n-Propyl acetate",  4319,"000109-60-4",43
20=, 20,  5.0840, 0.0286,"Butanal, 3-methyl-",  1766,"000590-86-3",32
21=, 21,  5.1669, 0.4814,"Cyclotetrasiloxane, octamethyl-",155951,"000556-67-2",90
22=, 22,  5.2216,12.5750,"Butanoic acid, methyl ester",  4382,"000623-42-7",91
23=, 23,  5.4244, 1.0954,"Butanoic acid, methyl ester",  4380,"000623-42-7",72
24=, 24,  5.6004, 0.2449,"Butanoic acid, methyl ester",  4380,"000623-42-7",52
25=, 25,  5.6566, 1.0726,"Butanoic acid, 2-methyl-, methyl ester",  8371,"000868-57-5",94
26=, 26,  5.7148, 0.4868,"Butanoic acid, methyl ester",  4380,"000623-42-7",43
27=, 27,  5.8337, 1.2560,"Methyl isovalerate",  8239,"000556-24-1",90
28=, 28,  5.9800, 0.2236,"Butanoic acid, 3-hydroxy-, methyl ester, (S)-",  8903,"053562-86-0",47
29=, 29,  6.1918, 3.7698,"Butanoic acid, ethyl ester",  8294,"000105-54-4",95
30=, 30,  6.2821, 6.8264,"Isopropyl butyrate", 13727,"000638-11-9",83
31=, 31,  6.5450, 0.7627,"Butanoic acid, 2-methyl-, ethyl ester", 13847,"007452-79-1",64
32=, 32,  6.8769, 0.4450,"Butanoic acid, 3-methyl-, ethyl ester", 13841,"000108-64-5",74
33=, 33,  6.9850, 0.9383,"Butanoic acid, 3-methyl-, 1-methylethyl ester", 21590,"032665-23-9",78
34=, 34,  7.2781, 0.0771,"5-Methylamino-1,3,4-thiadiazole-2-one", 14098,"1000288-74-0",43
35=, 35,  7.5696, 0.0294,"2-Oxoacetic acid, ethyl ester, oxime",  8617,"1000196-27-4",35
36=, 36,  7.6178, 0.0214,"Guanidine, N,N,N',N'-tetramethyl-",  7866,"000080-70-6",47
