Peak_ID,Library\ID,SWDSB24C01,SWDSB24C02,SWDSB24C03,SWDSB48C01,SWDSB48C02,SWDSB48C03
Peak_001,Carbon dioxide,10101868,22032776,18718853,11472083,25862783,16220011
Peak_002,"4H-Pyran-4-one, 3,5-dihydroxy-2-methyl-",76560,943662,392810,449418,1641319,936418
Peak_003,Methanethiol,2249,30918,69956,9141,48203,109769
Peak_004,Acetaldehyde,1158749,10719412,3114293,1035464,15616756,2788647
Peak_005,"Hexanoic acid, hexyl ester",0,8493,141,71,7343,1154
Peak_006,Dimethyl sulfide,13693,411011,60158,14466,567340,89199
Peak_007,"Butanoic acid, octyl ester",82,6623,2980,1232,6524,620
Peak_008,.+/-.-Tetrahydro-3-furanmethanol,76,7632,2861,1342,4756,1363
Peak_009,Acetone,4094891,7596077,10934270,5091646,2843211,14540636
Peak_010,"Acetic acid, methyl ester",9762289,25295535,13509556,20839128,28894405,31342957
Peak_011,Ethyl Acetate,15610528,32731862,6028791,12373156,31976728,19659036
Peak_012,"Butanoic acid, 2-methyl-, octyl ester",537,14464,3758,676,8774,2294
Peak_013,Butanoic acid,0,0,0,72,203544,0
Peak_014,"Butanoic acid, 3-methyl-, octyl ester",18966,73122,30297,0,288035,52086
Peak_015,"Silanediol, dimethyl-",21775668,12639550,10780664,16470692,10699954,9853150
Peak_016,Isopropyl acetate,9277696,37654747,10400335,13130973,46636396,18921381
Peak_017,Methyl propionate,3308987,44834825,4222415,4925684,44968583,10502081
Peak_018,"Propane, 2-ethoxy-",7493406,6693708,7607225,6857836,6728562,7870664
Peak_019,"Benzoic acid, ethyl ester",20240,817418,38186,32395,3621443,270801
Peak_020,"1-Octen-3-ol, methyl ether",165,979,746,927,444,132
Peak_021,"Hexanoic acid, 2-methyl-",199,0,0,0,190856,0
Peak_022,"Butanoic acid, 2-methyl propyl ester",278,1494,456,0,2901,91
Peak_023,"2(3H)-Furanone, 5-ethyldihydro-",5028,34085,6509,10218,73052,12542
Peak_024,"Butanoic acid, pentyl ester",161,4462,1934,1013,10592,208
Peak_025,Ethanol,1480952,34327156,1719429,1747887,36704694,2658305
Peak_026,"Propanoic acid, ethyl ester",359248,6002222,239443,353362,18274859,500190
