[contents]
count=2
Name=,D:\Users\jbrown\Documents\GitHub\BACandBlue\data\BaCandBLUE_GC data_PreliminaryVOCs_Incubator_Blanks_Control\JTB-E18-023-07.D
1=,PBM Apex
2=,INT TIC: JTB-E18-023-07.D\data.ms
[PBM Apex]
Time=,Mon Sep 16 12:41:25 2019
Header=,"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
1=,  1,  2.2868, 0.7473,"Carbon dioxide",    81,"000124-38-9", 4
2=,  2,  2.3929, 0.1014,"3,3-Dimethyl-4-methylamino-butan-2-one", 13294,"123528-99-4",64
3=,  3,  2.4328, 0.0885,"2-Methoxy-N-methylethylamine",  2242,"038256-93-8",59
4=,  4,  2.5033, 0.0772,"2-Heptanamine, 5-methyl-", 13342,"053907-81-6",47
5=,  5,  2.5719, 0.0775,"Amphetamine", 15920,"000300-62-9",27
6=,  6,  2.6225, 0.2795,"Acetaldehyde",    72,"000075-07-0",50
7=,  7,  2.6855, 0.0809,"l-Alanine, N-(1-oxopentyl)-, methyl ester", 54021,"042167-45-3",50
8=,  8,  2.7973, 0.1433,"Dimethyl sulfide",   338,"000075-18-3",90
9=,  9,  2.8411, 0.4536,"Heptane, 4-methyl-",  7766,"000589-53-7",93
10=, 10,  3.0708, 3.3122,"Heptane, 2,4-dimethyl-", 12971,"002213-23-2",94
11=, 11,  3.1183, 2.1292,"1,3,4-Oxadiazole, 2-(acetyloxy)-2,5-dihydro-2,5,5-trimethyl-", 41836,"066398-57-0",17
12=, 12,  3.2051, 1.4096,"Butanoic acid, 3-hydroxy-, methyl ester",  8892,"001487-49-6",36
13=, 13,  3.3169, 5.7307,"Cyclotrisiloxane, hexamethyl-", 85992,"000541-05-9",90
14=, 14,  3.3859, 0.5164,"Cyclotrisiloxane, hexamethyl-", 85994,"000541-05-9",62
15=, 15,  3.4247, 2.9023,"Octane, 4-methyl-", 12945,"002216-34-4",89
16=, 16,  3.5854, 0.2537,"Cyclotrisiloxane, hexamethyl-", 85994,"000541-05-9",68
17=, 17,  3.6444, 1.0274,"2,4-Dimethylhept-1-ene", 11777,"1000411-46-2",93
18=, 18,  3.6904, 4.5383,"Ethyl Acetate",  2040,"000141-78-6",78
19=, 19,  3.8269, 1.8016,"Propanal, 2-methyl-",   696,"000078-84-2",50
20=, 20,  3.9389, 0.3948,"Oxazolidine, 2-methyl-",  1911,"016250-70-7",30
21=, 21,  3.9755, 1.1420,"Butanal, 2-methyl-",  1768,"000096-17-3",83
22=, 22,  4.0241, 8.9575,"Butanal, 3-methyl-",  1762,"000590-86-3",91
23=, 23,  4.1616, 1.6399,"Methylene chloride",  1542,"000075-09-2",95
24=, 24,  4.2483,10.7592,"Ethanol",    94,"000064-17-5",86
25=, 25,  4.6498, 0.9705,"Oxirane, 3-hydroxypropyl-",  4366,"021915-56-0",58
26=, 26,  4.8173, 0.2331,"Diglycolamine",  4997,"000929-06-6",16
27=, 27,  4.8596, 0.2630,"Benzo[h]quinoline, 2,4-dimethyl-", 71668,"000605-67-4",53
28=, 28,  4.9632, 1.7049,"Cyclotetrasiloxane, octamethyl-",155950,"000556-67-2",87
29=, 29,  5.0520, 0.9737,"Carbonic acid, dimethyl ester",  2294,"000616-38-6",74
30=, 30,  5.1233, 0.4412,"Silane, dimethyl-",   283,"001111-74-6",27
31=, 31,  5.1894, 1.1640,"Cyclotetrasiloxane, octamethyl-",155949,"000556-67-2",22
32=, 32,  5.3490, 0.2237,"Cyclotetrasiloxane, octamethyl-",155950,"000556-67-2",38
33=, 33,  5.4072, 0.2460,"1,1,3,3,5,5,7,7-Octamethyl-7-(2-methylpropoxy)tetrasiloxan-1-ol",220051,"1000364-61-2",27
34=, 34,  5.5820, 0.4560,"Methyl isovalerate",  8240,"000556-24-1",90
35=, 35,  5.7115, 0.3237,"1,2-Benzisothiazol-3-amine, TBDMS derivative",124363,"1000332-57-2",22
36=, 36,  5.7741, 0.1650,"Cyclotetrasiloxane, octamethyl-",155949,"000556-67-2",38
37=, 37,  5.8408, 0.9852,"Eicosane",142238,"000112-95-8",58
38=, 38,  5.9403, 0.5210,"2,6-Dimethyldecane", 39979,"013150-81-7",49
39=, 39,  5.9931, 0.3083,"3-Buten-2-ol, 2-methyl-",  1813,"000115-18-4",41
40=, 40,  6.1565, 0.4971,"4-Methyl-2-hexanol",  8485,"002313-61-3",25
41=, 41,  6.2690, 0.2191,"Cyclotetrasiloxane, octamethyl-",155950,"000556-67-2",41
42=, 42,  6.3721, 0.2391,"Cyclotetrasiloxane, octamethyl-",155949,"000556-67-2",49
43=, 43,  6.4470, 0.1085,"Cyclotetrasiloxane, octamethyl-",155950,"000556-67-2",53
44=, 44,  6.5035, 0.1246,"Cyclotetrasiloxane, octamethyl-",155950,"000556-67-2",49
45=, 45,  6.5904, 0.4469,"ethanol, 2-[[2-(2-hydroxyethoxy)ethyl]methylamino]-", 34291,"1000404-44-7",43
46=, 46,  6.6808, 0.7768,"Disulfide, dimethyl",  2561,"000624-92-0",95
47=, 47,  6.8222, 0.7798,"Nonane, 5-methyl-5-propyl-", 51475,"017312-75-3",58
48=, 48,  6.9691, 0.4209,"2-Bromotetradecane",136205,"074036-95-6",59
49=, 49,  7.1805, 0.0998,"2-Buten-1-amine, N-butyl-, (Z)-", 12170,"062337-87-5",38
50=, 50,  7.2430, 0.7488,"1-Propanol, 2-methyl-",   861,"000078-83-1",87
51=, 51,  7.3382, 0.2301,"Ethanone, 1-cyclopentyl-",  6644,"006004-60-0",41
52=, 52,  7.4435, 0.1527,"Ethanone, 1-cyclopentyl-",  6644,"006004-60-0",43
53=, 53,  7.5630, 0.6513,"2H-Pyran, 2-ethenyltetrahydro-2,6,6-trimethyl-", 27742,"007392-19-0",83
54=, 54,  7.8943, 0.0393,"Docosanoic acid 1-methyl-butyl ester",243167,"300382-72-3",37
55=, 55,  7.9543, 0.0741,"2-Butenediamide, 2-methyl-, (Z)-", 12307,"041138-17-4",12
56=, 56,  8.1591, 0.0228,"2-Pentene, 3,4-dimethyl-, (Z)-",  3449,"004914-91-4",30
57=, 57,  8.5587, 0.1193,"1-Butanol",   846,"000071-36-3",64
58=, 58,  8.7718, 0.6531,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",91
59=, 59,  8.8426, 0.1669,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",91
60=, 60,  8.9549, 0.0610,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",74
61=, 61,  8.9918, 0.1001,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",81
62=, 62,  9.1257, 0.1569,"Cyclopentasiloxane, decamethyl-",220035,"000541-02-6",41
63=, 63,  9.4406, 0.1213,"7-Oxabicyclo[2.2.1]heptane, 1-methyl-4-(1-methylethyl)-", 27821,"000470-67-7",66
64=, 64,  9.9656, 0.0618,"1,6-Anhydro-3,4-dideoxy-.beta.-D-gluco-hexopyranose", 13606,"039682-48-9",27
65=, 65, 10.3415, 4.5400,"1-Butanol, 3-methyl-",  2148,"000123-51-3",86
66=, 66, 10.7143, 0.0335,"1H-Indole, 5-methyl-2-phenyl-", 71661,"013228-36-9",43
67=, 67, 11.0942, 0.0774,"Hexanoic acid, ethyl ester", 21453,"000123-66-0",95
68=, 68, 11.1764, 0.2640,"Hexanoic acid, ethyl ester", 21454,"000123-66-0",95
69=, 69, 11.3454, 1.4651,"(2R,5S)-2-Methyl-5-(prop-1-en-2-yl)-2-vinyltetrahydrofuran", 26137,"054750-69-5",96
70=, 70, 11.5095, 0.3283,"Hexanoic acid, ethyl ester", 21454,"000123-66-0",90
71=, 71, 11.6238, 0.1735,"Hexanoic acid, ethyl ester", 21453,"000123-66-0",70
72=, 72, 11.7296, 0.4185,"Hexanoic acid, ethyl ester", 21453,"000123-66-0",78
73=, 73, 11.9428, 0.0899,"Bicyclo[4.2.0]octa-1,3,5-triene",  4962,"000694-87-1",42
74=, 74, 12.0181, 0.1034,"Pyrazine, methyl-",  2600,"000109-08-0",38
75=, 75, 12.4314, 0.3278,"N-[1-(Benzimidoyl-amino)-2,2,2-trifluoro-1-trifluoromethyl-ethyl]-benzamide",232542,"1000275-04-3",43
76=, 76, 12.5747, 0.1079,"1-Butaneboronic acid",  4291,"004426-47-5",52
77=, 77, 12.9809, 0.1324,"Tetracosane, 1-iodo-",260060,"1000406-32-0",80
78=, 78, 13.2795, 0.0376,"Decane, 3,6-dimethyl-", 40000,"017312-53-7",38
79=, 79, 13.3329, 0.0410,"Octane, 2-methyl-", 12950,"003221-61-2",42
80=, 80, 13.6334, 0.1077,"2-Undecanol", 41552,"001653-30-1",59
81=, 81, 13.7882, 0.7600,"Pyrazine, 2,6-dimethyl-",  5416,"000108-50-9",78
82=, 82, 13.9874, 0.0455,"Pyrimidine, 4,6-dimethyl-",  5430,"001558-17-4",38
83=, 83, 14.1877, 0.4620,"Phosphonoacetic Acid, 3TMS derivative",209743,"053044-27-2",45
84=, 84, 14.4312, 0.1455,"2-Butanol",   839,"000078-92-2",59
85=, 85, 14.8390, 0.9151,"Formic acid, hexyl ester", 13750,"000629-33-4",83
86=, 86, 15.5069, 0.1833,"1,4-Pentadiene, 3-methyl-",  1267,"001115-08-8",38
87=, 87, 15.7955, 0.0685,"3-Hexen-1-ol, (E)-",  3891,"000928-97-2",86
88=, 88, 16.0466, 0.0764,"N.omega.-Nitro-L-arginine", 82537,"002149-70-4",22
89=, 89, 16.1366, 0.0489,"2-Methyl-7-phenylindole", 71646,"001140-08-5",15
90=, 90, 16.4892, 0.0999,"2-Hexen-1-ol, (E)-",  3883,"000928-95-0",81
91=, 91, 17.4281, 0.0477,"2-Ethylacridine", 71643,"055751-83-2",22
92=, 92, 17.6079, 0.3034,"Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate",103910,"1000373-80-3",87
93=, 93, 17.8623, 0.0400,"Pyrido[2,3-d]pyrimidine, 4-phenyl-", 71621,"028732-75-4",43
94=, 94, 18.1046, 1.3776,"Furfural",  2768,"000098-01-1",80
95=, 95, 18.4799, 0.2015,"Ethanimidic acid, ethyl ester",  1920,"001000-84-6",35
96=, 96, 18.6347, 0.0929,"2-Ethylacridine", 71643,"055751-83-2",43
97=, 97, 19.1141, 0.2489,"2-Ethyl-1-hexanol", 13961,"1000411-44-8",83
98=, 98, 19.3827, 0.0758,"Furan, 2-ethyl-5-methyl-",  5924,"001703-52-2",47
