total_flies,start_date,container,sample_time,microbe,flies_in_treat,flies_in_control,flies_outside
20,20190719,,,C0621,1,3,6
20,20190719,,,C0621,3,13,1
20,20190719,,,C0621,3,7,2
20,20190719,,,C0620,12,4,4
20,20190719,,,C0620,9,5,3
20,20190719,,,C0620,15,0,4
20,20190719,,,C0633,4,6,4
20,20190719,,,C0633,0,2,3
20,20190719,,,C0633,9,1,5
20,20190719,,,C0185,0,4,6
20,20190719,,,C0185,3,13,4
20,20190719,,,C0185,16,2,1
20,20190719,,,C0189,6,4,2
20,20190719,,,C0189,2,4,1
20,20190719,,,C0189,10,4,4
20,20190719,,,C0634,6,2,0
20,20190719,,,C0634,0,1,4
20,20190719,,,C0634,2,2,2
20,20190729,,,C0621,5,10,3
20,20190729,,,C0621,7,3,3
20,20190729,,,C0621,8,4,3
20,20190729,,,C0620,8,9,3
20,20190729,,,C0620,10,4,6
20,20190729,,,C0620,13,6,1
20,20190729,,,C0633,9,8,2
20,20190729,,,C0633,12,4,4
20,20190729,,,C0633,15,3,2
20,20190729,,,C0185,13,4,0
20,20190729,,,C0185,16,0,4
20,20190729,,,C0185,10,8,2
20,20190729,,,C0189,12,5,3
20,20190729,,,C0189,13,3,3
20,20190729,,,C0189,6,11,3
20,20190729,,,C0634,12,8,0
20,20190729,,,C0634,10,5,5
20,20190729,,,C0634,12,3,5
20,20190802,,,C0621,7,10,2
20,20190802,,,C0621,3,12,3
20,20190802,,,C0621,0,17,2
20,20190802,,,C0620,16,4,0
20,20190802,,,C0620,10,10,0
20,20190802,,,C0620,5,14,1
20,20190802,,,C0633,7,5,5
20,20190802,,,C0633,6,8,5
20,20190802,,,C0633,18,1,1
20,20190802,,,C0185,10,3,7
20,20190802,,,C0185,14,5,0
20,20190802,,,C0185,7,10,3
20,20190802,,,C0189,15,4,0
20,20190802,,,C0189,13,7,0
20,20190802,,,C0189,7,8,2
20,20190802,,,C0634,17,1,2
20,20190802,,,C0634,13,8,0
20,20190802,,,C0634,10,8,2
