Sample,,,,.+/-.-Tetrahydro-3-furanmethanol Method,Qualifier (115.0) Results,,Qualifier (43.0) Results,,.+/-.-Tetrahydro-3-furanmethanol Results,
,Name,Data File,Acq. Date-Time,Exp. Conc.,Ratio,MI,Ratio,MI,RT,Resp.
!,BLANK   E-2,JTB-E02-208-19.D,3/14/2019 7:28 AM,,,False,131.2,False,23.451,154
!,CTRL01   E-2,JTB-E02-208-22.D,3/14/2019 10:43 AM,,1172.1,False,137.8,False,23.459,76
,REP01   E-2,JTB-E02-208-23.D,3/14/2019 11:49 AM,,28.9,False,58.8,False,23.427,192522
!,CTRL02   E-2,JTB-E02-208-24.D,3/14/2019 12:40 PM,,46.1,False,161.3,False,23.419,7632
!,REP02   E-2,JTB-E02-208-25.D,3/14/2019 1:44 PM,,28.3,False,51.4,False,23.418,7771
!,CTRL03   E-2,JTB-E02-208-26.D,3/14/2019 2:38 PM,,18.5,False,89.2,False,23.427,2861
!,REP03   E-2,JTB-E02-208-27.D,3/14/2019 3:44 PM,,18.6,False,53.1,False,23.427,33341
!,BLANK     E-2,JTB-E12-002-05.D,3/15/2019 9:02 AM,,65.2,False,86.3,False,23.419,796
!,CTRL01     E-2,JTB-E12-002-08.D,3/15/2019 10:42 AM,,44.3,False,115.0,False,23.435,1342
!,REP01     E-2,JTB-E12-002-09.D,3/15/2019 11:48 AM,,21.9,False,37.1,False,23.418,57048
!,CTRL02     E-2,JTB-E12-002-10.D,3/15/2019 12:40 PM,,13.2,False,49.9,False,23.410,4756
!,REO02     E-2,JTB-E12-002-11.D,3/15/2019 1:44 PM,,56.0,False,169.3,False,23.418,1642
!,CTRL03     E-2,JTB-E12-002-12.D,3/15/2019 2:39 PM,,55.5,False,74.0,False,23.410,1363
!,REP03     E-2,JTB-E12-002-13.D,3/15/2019 3:45 PM,,26.0,False,78.5,False,23.426,16047
