Peak_ID,Name
Peak_01,isoprene
Peak_02,acetaldehyde
Peak_03,isobutylaldehyde
Peak_04,2-methylfuran
Peak_05,EtAc
Peak_06,ethanol
Peak_07,"2,5-dimethylfuran"
Peak_08,1-propanol
Peak_10,isobutanol
Peak_11,isoamyl acetate
Peak_12,3-methyl-2-heptanone
Peak_13,2and3-methyl-1-butanol
Peak_14,3-methyl-3-buten-1-ol
Peak_16,acetoin
Peak_17,4-penten-1-ol
Peak_18,2-heptanol
Peak_20,1-hexanol
Peak_21,unknown 2
Peak_22,unknown 3
Peak_23,2-ethylhexyl ester acetic acid
Peak_25,3-octanol
Peak_27,1-heptanol
Peak_28,2-ethyl-1-hexanol
Peak_31,1-octanol
Peak_32,2-furanmethanol
Peak_33,1-nonanol
Peak_34,2-phenethyl alcohol
