Peak_ID,Name,MrAaHd0r1,MrAaHd1r1,MrAaHd2r1,MrAaHd0r2,MrAaHd1r2,MrAaHd2r2,MrAaHd0r3,MrAaHd1r3,MrAaHd2r3,MrAaHd0r4,MrAaHd1r4,MrAaHd2r4,MrAaHd0r5,MrAaHd1r5,MrAaHd2r5,AaHd0r1,AaHd1r1,AaHd2r1,AaHd0r2,AaHd1r2,AaHd2r2,AaHd0r3,AaHd1r3,AaHd2r3,AaHd0r4,AaHd1r4,AaHd2r4,AaHd0r5,AaHd1r5,AaHd2r5,MrHd0r1,MrHd1r1,MrHd2r1,MrHd0r1,MrHd1r1,MrHd2r1,MrHd0r1,MrHd1r1,MrHd2r1,MrHd0r1,MrHd1r1,MrHd2r1,MrHd0r1,MrHd1r1,MrHd2r1,MrAaLd0r1,MrAaLd1r1,MrAaLd2r1,MrAaLd0r2,MrAaLd1r2,MrAaLd2r2,MrAaLd0r3,MrAaLd1r3,MrAaLd2r3,MrAaLd0r4,MrAaLd1r4,MrAaLd2r4,MrAaLd0r5,MrAaLd1r5,MrAaLd2r5,AaLd0r1,AaLd1r1,AaLd2r1,AaLd0r2,AaLd1r2,AaLd2r2,AaLd0r3,AaLd1r3,AaLd2r3,AaLd0r4,AaLd1r4,AaLd2r4,MrLd0r1,MrLd1r1,MrLd2r1,MrLd0r2,MrLd1r2,MrLd2r2,MrLd0r3,MrLd1r3,MrLd2r3,MrLd0r4,MrLd1r4,MrLd2r4,MrLd0r5,MrLd1r5,MrLd2r5
Peak_01,isoprene,40669.03515,55330.98558,70851.85559,56626.67057,45278.31416,38799.31284,53820.07957,100220.4711,81325.7159,62996.95061,26693.35797,22880.77885,40648.94787,20609.91547,25455.16772,28789.936,100615.2402,319926.7861,37566.40389,85127.1475,352149.3817,15570.01337,49011.11282,175069.1217,38870.09654,78324.57806,333786.1484,34343.63041,93179.33518,303907.038,57705.33716,0,0,64121.20952,21760.53711,2126.052137,58408.9974,15757.59005,10667.31156,49395.35398,9616.046697,8607.23709,79767.6382,34214.13845,16921.39811,0,122524.2802,207226.273,5006.261843,94808.58724,131618.2341,0,56679.63714,64092.13477,18969.704,295378.4805,244225.5024,655.8598843,277457.5772,132792.7777,5156.152039,96324.20296,285395.4024,10202.91619,90418.73956,72578.59786,12483.45813,274125.7658,359397.037,5918.300996,41530.34959,195117.6392,13140.51446,0,0,5821.071289,0,0,867.7223493,2941.2544,0,28463.94449,7173.386796,0,28065.87389,0,0
Peak_02,acetaldehyde,58554.19651,335064.996,632311.6503,55873.25549,920628.4264,651059.4336,96517.23606,753803.8906,819817.4405,95825.92704,481347.6172,736111.9586,101562.5029,540731.3659,835878.8804,15219.16406,21535.58227,0,13079.26588,0,20524.43702,35275.93731,12012.3817,31999.8002,33531.8794,0,4786.505201,11323.57077,46005.39149,14322.33826,0,775332.9428,1216901.592,19192.82841,913932.8667,1851767.189,37215.7972,350916.7105,798351.1581,42267.63431,735058.2978,1089026.893,49518.09753,453922.0999,730433.4021,188639.5109,175711.4154,315899.9709,44462.0022,163630.5695,208389.1326,103731.3861,428353.2092,449590.7187,138351.1844,157086.1706,263445.2617,202072.4705,147238.5145,452555.2757,2318.500259,0,0,0,0,0,75783.77135,22409.35106,37695.86891,28723.53181,46807.36635,13695.39059,131318.1695,443545.1318,410818.96,107306.2806,232682.6346,580185.6722,223071.2242,56141.30362,47458.20193,73594.96701,54982.52272,75103.68817,50331.9544,206646.8583,45139.16385
Peak_03,isobutylaldehyde,109954.6543,334588.8954,129629.4001,187474.4438,430349.279,148901.5278,267588.5337,296352.991,144256.8111,224550.0193,323543.4696,133523.2136,302792.8725,394400.1961,171386.779,969.9886741,295.1328172,0,1044.261826,3868.773767,0,235.8332671,0,0,3140.051879,0,0,0,0,0,0,372396.7642,138090.6668,33167.68871,778426.375,203239.7189,42346.50357,291709.1958,89563.17397,221963.047,755439.1663,257834.5253,317247.1654,413237.3651,167567.8549,153509.0451,124521.9112,95150.77142,156872.2178,171095.0205,55571.95738,186607.5866,175235.0589,92376.64986,31209.25807,374584.1763,201661.4682,28943.55703,310853.6241,320674.4654,0,0,0,0,0,0,24510.91467,47794.4066,0,37048.02293,0,0,145435.1376,208052.3105,99716.31361,130609.2048,149077.9901,106939.7828,33971.13281,0,0,25528.60406,2687.455283,0,29957.26502,3449.398819,0
Peak_04,2-methylfuran,2138.673288,864934.0837,1314923.995,1805.710784,564155.9721,830631.1231,2002.869192,968056.231,1689868.542,0,627303.8041,937498.7763,2149.115018,584680.273,1234418.442,5270.691046,47365.86517,96674.43712,3779.384235,38063.07359,78488.88076,0,23123.30383,77259.1456,0,30525.94292,96460.82712,0,25783.64166,68590.52098,2114.410301,173773.7514,242221.3647,2991.273756,322254.7864,488057.6274,0,612636.2175,1034512.037,0,509437.502,915832.2711,0,872691.6674,1122700.926,2363.351564,92514.62314,142680.748,2615.10523,47857.64085,82126.25349,0,41576.9796,84079.93694,0,18132.09463,53982.58597,0,19510.92172,39511.11218,0,6049.649859,21500.35196,2446.907325,3555.864924,6702.903533,3592.38489,11235.89258,17914.69964,0,4171.776687,12833.4906,1818.837111,124338.084,181527.6143,3050.056705,94713.88069,114235.7797,0,32481.7478,106760.443,0,39791.69994,90601.20029,2359.131822,35553.88135,125823.799
Peak_05,EtAc,2033.835017,9835.588351,58920.02077,807.2892804,16094.70383,77461.69308,69.3172547,11211.52901,84507.30837,3505.924382,16717.7682,78164.1069,479.4988721,11485.00273,119732.5724,2051.131289,2869.759117,27.24369398,3225.425126,6635.547229,7174.826795,0,0,3325.412985,0,0,0,0,0,2282.29608,4599.060825,14532.27843,72620.63501,1617.924639,27496.49719,126900.4259,0,7539.276842,38349.40795,1748.509375,8969.272708,65438.21199,24.30808002,6446.943887,38881.1047,0,6848.603496,22224.06599,0,5578.108047,14044.1415,0,2745.695619,15200.9148,0,0,6964.222038,0,0,7203.461742,0,0,0,0,0,0,0,0,0,0,0,0,0,5420.278431,17641.14175,0,5444.719304,13595.45685,0,0,0,0,0,0,0,0,0
Peak_06,ethanol,105684.215,10416790.75,16808625.42,224473.9146,12046409.05,20898554.67,383335.2445,12361356.05,18618714.93,426643.7349,12117775.03,19043770.23,491168.7919,16389571.55,20860551.69,61727.78985,0,34247.29029,78342.22193,13873.80809,96170.98871,283803.1701,281787.5084,366090.9673,195214.599,261847.0803,252998.8818,61098.81089,87166.13392,189728.3583,0,12816718.15,19842289.94,34124.4936,15962415.99,22420081.73,62054.19115,8838627.492,12275107.28,135265.838,14905195.17,16967919.28,185632.3464,9860952.803,17913520.56,1249888.167,5347761.297,8261401.482,593261.8728,4371584.826,6614085.819,704615.371,5137160.455,8296231.301,1497592.814,2537430.105,4613294.3,2163806.666,2030282.39,5262533.134,0,0,0,41454.74718,0,64711.00386,503732.8391,252535.2925,342095.2078,353683.4022,58252.37308,146755.0549,7312037.509,5774666.405,6513795.182,1917268.999,4838292.165,7991465.05,3455649.891,922778.9673,799784.1584,3096639.921,366786.835,571885.5664,1283345.928,1212234.078,825958.1813
Peak_07,"2,5-dimethylfuran",285.1515603,439571.2825,877583.0586,0,258839.1314,419592.4706,1376.073792,530084.8296,1053852.658,3589.194359,322757.1308,623597.4895,1277.595239,368297.4471,911154.1589,1725.916349,166586.371,231780.7644,6130.041464,195136.2151,224420.9516,0,98852.73335,173069.3979,0,166005.6264,258186.8214,2451.415964,211209.0871,234083.7861,0,256620.9951,431095.0272,1762.429356,548786.9581,1142684.91,2386.565396,467895.5059,1058385.235,2719.855631,295984.9868,806958.8262,4684.187358,535770.3128,982945.1351,0,62305.51391,112227.604,79.27996688,39608.0029,50201.41966,0,35074.07067,60226.02141,1827.471015,54357.35198,88209.75562,748.5826511,62802.25345,76666.50258,0,19843.03384,38365.01096,0,7212.916654,10667.86905,1500.552392,51854.56429,70069.34468,1823.898808,12651.79486,21178.42984,0,60273.94827,146964.2809,0,61099.45079,80935.76641,2007.996926,26089.36807,42126.31623,873.3137305,21406.04961,50197.23657,0,20418.98476,54832.06646
Peak_08,1-propanol,0,65368.57342,152281.6344,0,89105.40007,187853.4706,5345.260915,91736.69614,173898.1592,0,89267.13443,185540.6783,0,120543.3171,205706.9083,0,0,0,0,4411.600854,0,0,0,0,0,0,0,0,0,0,0,87290.24682,192205.2608,0,115875.7381,233823.9312,0,56979.80317,97367.07871,0,84501.75008,149537.2139,0,66311.08566,148171.8969,0,42763.88058,64659.55749,2509.568229,36139.68729,52258.99116,3395.072352,41156.04509,66364.61875,0,17740.02924,27855.11491,0,13972.04465,34787.52515,0,0,0,0,0,0,0,0,0,0,0,3207.689464,0,43384.6362,48304.55699,1393.889235,36974.4246,61890.82677,0,2367.20116,2854.464935,0,0,3260.841942,0,1933.937872,3977.284361
Peak_10,isobutanol,24915.95012,550719.5421,1311491.623,5582.104068,686493.6185,1536188.664,15369.75066,712897.1625,1379909.521,30392.07973,894127.6579,1600185.322,41647.84439,1056471.168,1857340.763,5111.003509,5533.402037,7542.752277,9632.234296,13203.70908,13047.7806,1312.618959,1267.094117,2867.284349,3054.549688,6600.723888,5533.2382,2090.284566,5701.919958,6157.966326,0,1072440.987,2366780.365,0,1338193.491,2804375.175,2757.331818,593172.3699,1138905.964,10059.51917,1369317.82,2245992.265,17842.76874,765707.4028,1684752.675,39644.28359,471500.255,758119.0616,42774.44409,432507.6144,650170.6976,54310.97991,443024.9173,722287.8361,3998.548126,119290.0919,329636.8083,4547.524387,109894.9496,328320.9989,0,0,0,0,0,0,6474.087258,7170.809338,8465.470673,860.431772,766.5975635,802.8387749,25020.41778,479940.452,688390.889,35326.30106,487209.9806,862351.7816,1777.271681,4380.248416,7923.663856,2858.233899,7820.685313,9314.320732,1601.411865,10153.06772,11729.55281
Peak_11,isoamyl acetate,0,23928.54725,85767.13127,0,30041.01038,73017.39251,0,40580.38386,121177.6928,0,29984.45884,89638.91822,0,39218.84001,155946.4717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22350.03102,76104.32569,0,53840.45155,202206.0277,0,25495.15329,77057.03803,0,32994.38277,121061.1535,0,25994.76263,96801.9841,0,16204.23075,29082.50158,0,7661.164116,13696.88633,0,10465.42516,20629.21872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17927.06977,47174.89446,0,12430.19102,22568.51537,0,0,0,0,0,0,0,0,0
