DataFile,rep,hour,SampleID
JTB-E02-189-05,2BLANK01,2,a2
JTB-E02-189-18,2CTRL01,2,b2
JTB-E02-189-19,2EMPTY01,2,c2
JTB-E02-189-20,2REP01,2,d2
JTB-E02-189-21,2REP02,2,e2
JTB-E02-189-22,2REP03,2,f2
JTB-E02-189-23,2REP04,2,g2
JTB-E02-189-24,2REP05,2,h2
JTB-E02-190-05,24BLANK01,24,i24
JTB-E02-190-08,24CTRL01,24,j24
JTB-E02-190-09,24EMPTY01,24,k24
JTB-E02-190-10,24REP01,24,l24
JTB-E02-190-11,24REP02,24,m24
JTB-E02-190-12,24REP03,24,n24
JTB-E02-190-13,24REP04,24,o24
JTB-E02-190-14,24REP05,24,p24
JTB-E02-191-06,48BLANK01,48,q48
JTB-E02-191-09,48CTRL01,48,r48
JTB-E02-191-10,48EMPTY01,48,s48
JTB-E02-191-11,48REP01,48,t48
JTB-E02-191-12,48REP02,48,u48
JTB-E02-191-13,48REP03,48,v48
JTB-E02-191-14,48REP04,48,w48
JTB-E02-191-15,48REP05,48,x48
